cryptsetup	2.8.4-1.fc44	x86_64
cryptsetup-libs	2.8.4-1.fc44	x86_64
cscope	15.9-31.fc44	x86_64
ctags	6.2.1-3.fc44	x86_64
cups	2.4.19-3.fc44	x86_64
cups-browsed	2.1.1-7.fc44	x86_64
cups-client	2.4.19-3.fc44	x86_64
cups-filesystem	2.4.19-3.fc44	noarch
cups-filters	2.0.1-14.fc44	x86_64
cups-filters-driverless	2.0.1-14.fc44	x86_64
cups-ipptool	2.4.19-3.fc44	x86_64
cups-libs	2.4.19-3.fc44	i686
cups-libs	2.4.19-3.fc44	x86_64
cups-pk-helper	0.2.7-12.fc44	x86_64
curl	8.18.0-6.fc44	x86_64
cxl-libs	84-1.fc44	x86_64
cyrus-sasl-gssapi	2.1.28-35.fc44	x86_64
cyrus-sasl-lib	2.1.28-35.fc44	i686
cyrus-sasl-lib	2.1.28-35.fc44	x86_64
cyrus-sasl-plain	2.1.28-35.fc44	x86_64
daala-libs	0^20250205git24f889a-1.fc44	x86_64
daxctl-libs	84-1.fc44	x86_64
dbus	1.16.2-1.fc44	x86_64
dbus-broker	37-8.fc44	x86_64
dbus-common	1.16.2-1.fc44	noarch
dbus-daemon	1.16.2-1.fc44	x86_64
dbus-libs	1.16.2-1.fc44	i686
dbus-libs	1.16.2-1.fc44	x86_64
dbus-tools	1.16.2-1.fc44	x86_64
dbus-x11	1.16.2-1.fc44	x86_64
dbusmenu-qt5	0.9.3-0.40.20160218.fc44	x86_64
dconf	0.49.0-5.fc44	i686
dconf	0.49.0-5.fc44	x86_64
ddcutil	2.2.1-3.fc44	x86_64
debugedit	5.3-2.fc44	x86_64
default-editor	8.7.1-2.fc44	noarch
default-fonts-am	4.3-1.fc44	noarch
default-fonts-ar	4.3-1.fc44	noarch
default-fonts-as	4.3-1.fc44	noarch
default-fonts-ast	4.3-1.fc44	noarch
default-fonts-be	4.3-1.fc44	noarch
default-fonts-bg	4.3-1.fc44	noarch
default-fonts-bn	4.3-1.fc44	noarch
default-fonts-bo	4.3-1.fc44	noarch
default-fonts-br	4.3-1.fc44	noarch
default-fonts-chr	4.3-1.fc44	noarch
default-fonts-cjk-mono	4.3-1.fc44	noarch
default-fonts-cjk-sans	4.3-1.fc44	noarch
default-fonts-cjk-serif	4.3-1.fc44	noarch
default-fonts-core-emoji	4.3-1.fc44	noarch
default-fonts-core-math	4.3-1.fc44	noarch
default-fonts-core-mono	4.3-1.fc44	noarch
default-fonts-core-sans	4.3-1.fc44	noarch
default-fonts-core-serif	4.3-1.fc44	noarch
default-fonts-dv	4.3-1.fc44	noarch
default-fonts-dz	4.3-1.fc44	noarch
default-fonts-el	4.3-1.fc44	noarch
default-fonts-eo	4.3-1.fc44	noarch
default-fonts-eu	4.3-1.fc44	noarch
default-fonts-fa	4.3-1.fc44	noarch
default-fonts-got	4.3-1.fc44	noarch
default-fonts-gu	4.3-1.fc44	noarch
default-fonts-he	4.3-1.fc44	noarch
default-fonts-hi	4.3-1.fc44	noarch
default-fonts-hy	4.3-1.fc44	noarch
default-fonts-ia	4.3-1.fc44	noarch
default-fonts-ii	4.3-1.fc44	noarch
default-fonts-iu	4.3-1.fc44	noarch
default-fonts-ka	4.3-1.fc44	noarch
default-fonts-kab	4.3-1.fc44	noarch
default-fonts-km	4.3-1.fc44	noarch
default-fonts-kn	4.3-1.fc44	noarch
default-fonts-ku	4.3-1.fc44	noarch
default-fonts-lo	4.3-1.fc44	noarch
default-fonts-mai	4.3-1.fc44	noarch
default-fonts-ml	4.3-1.fc44	noarch
default-fonts-mni	4.3-1.fc44	noarch
default-fonts-mr	4.3-1.fc44	noarch
default-fonts-my	4.3-1.fc44	noarch
default-fonts-nb	4.3-1.fc44	noarch
default-fonts-ne	4.3-1.fc44	noarch
default-fonts-nn	4.3-1.fc44	noarch
default-fonts-nqo	4.3-1.fc44	noarch
default-fonts-nr	4.3-1.fc44	noarch
default-fonts-nso	4.3-1.fc44	noarch
default-fonts-or	4.3-1.fc44	noarch
default-fonts-other-mono	4.3-1.fc44	noarch
default-fonts-other-sans	4.3-1.fc44	noarch
default-fonts-other-serif	4.3-1.fc44	noarch
default-fonts-pa	4.3-1.fc44	noarch
default-fonts-ru	4.3-1.fc44	noarch
default-fonts-sat	4.3-1.fc44	noarch
default-fonts-si	4.3-1.fc44	noarch
default-fonts-ss	4.3-1.fc44	noarch
default-fonts-syr	4.3-1.fc44	noarch
default-fonts-ta	4.3-1.fc44	noarch
default-fonts-te	4.3-1.fc44	noarch
default-fonts-th	4.3-1.fc44	noarch
default-fonts-tn	4.3-1.fc44	noarch
default-fonts-ts	4.3-1.fc44	noarch
default-fonts-uk	4.3-1.fc44	noarch
default-fonts-ur	4.3-1.fc44	noarch
default-fonts-ve	4.3-1.fc44	noarch
default-fonts-vi	4.3-1.fc44	noarch
default-fonts-xh	4.3-1.fc44	noarch
default-fonts-yi	4.3-1.fc44	noarch
default-fonts-zu	4.3-1.fc44	noarch
dejavu-sans-fonts	2.37-29.fc44	noarch
dejavu-sans-mono-fonts	2.37-29.fc44	noarch
